id,plate,price,area,year
63,O911BO124,35000,Krasnoyarsk Krai,2023
64,M999KO199,1100000,Moscow,2024
65,A110MP33,650000,Vladimir Oblast,2025
66,K400YA123,100000,Krasnodar Krai,2024
67,X156CM797,30000,Moscow,2025
68,X555KE777,650000,Moscow,2024
69,C107OK797,30000,Moscow,2023
70,O198OM750,100000,Moscow Oblast,2022
71,M660PE28,200000,Amur Oblast,2024
72,X080PA174,200000,Chelyabinsk Oblast,2023
73,E886MM99,350000,Moscow,2025
74,A500XX05,1400000,Republic of Dagestan,2023
75,K196TX797,30000,Moscow,2025
76,P570AB77,200000,Moscow,2024
77,H144TH977,50000,Moscow,2024
78,T086EH977,80000,Moscow,2025
79,A080AP550,40000,Moscow Oblast,2024
80,A080AP550,100000,Moscow Oblast,2024
81,T303CT790,90000,Moscow Oblast,2023
82,K727MY761,35000,Rostov Oblast,2024
83,T190HM190,70000,Moscow Oblast,2021
84,T190HM190,135000,Moscow Oblast,2021
85,T190HM190,150000,Moscow Oblast,2021
86,T190HM190,160000,Moscow Oblast,2021
87,T190HM190,190000,Moscow Oblast,2021
88,T190HM190,160000,Moscow Oblast,2021
89,T190HM190,150000,Moscow Oblast,2021
90,T190HM190,140000,Moscow Oblast,2021
91,T190HM190,150000,Moscow Oblast,2021
92,T190HM190,160000,Moscow Oblast,2021
93,T190HM190,170000,Moscow Oblast,2022
94,T190HM190,150000,Moscow Oblast,2022
95,T190HM190,160000,Moscow Oblast,2022
96,T190HM190,130000,Moscow Oblast,2022
97,T190HM190,170000,Moscow Oblast,2022
98,T190HM190,180000,Moscow Oblast,2022
99,O700CT197,185000,Moscow,2023
100,M222EK22,750000,Altai Krai,2024
101,A600CE790,75000,Moscow Oblast,2022
102,H666EM50,125000,Moscow Oblast,2021
103,B666PH777,1500000,Moscow,2024
104,H333EM750,200000,Moscow Oblast,2024
105,B320TE797,70000,Moscow,2024
106,B469OP197,100000,Moscow,2023
107,B469OP197,60000,Moscow,2023
108,A300OY799,95000,Moscow,2024
109,A300OY799,150000,Moscow,2025
110,T003HE190,230000,Moscow Oblast,2024
111,T003HE190,180000,Moscow Oblast,2024
112,Y004BB777,150000,Moscow,2022
113,M530CC196,200000,Sverdlovsk Oblast,2024
114,E005PM05,900000,Republic of Dagestan,2024
115,T112CK18,25000,Udmurt Republic,2024
116,A535YC790,34999,Moscow Oblast,2025
117,E393MY797,60000,Moscow,2025
118,X784AM777,150000,Moscow,2025
119,A148XY797,60000,Moscow,2025
120,M060CM60,100000,Pskov Oblast,2023
121,T674TT77,780000,Moscow,2025
122,P899PT797,75000,Moscow,2025
123,K020TC63,50000,Samara Oblast,2024
124,A991MK199,300000,Moscow,2023
125,M010TO93,80000,Krasnodar Krai,2023
126,O100ME50,230000,Moscow Oblast,2024
127,O100ME50,200000,Moscow Oblast,2024
128,A150AO150,450000,Moscow Oblast,2024
129,Y770PE797,200000,Moscow,2024
130,O131PC77,130000,Moscow,2025
131,K100XP777,350000,Moscow,2025
132,X600PT790,65000,Moscow Oblast,2021
133,X600PT790,100000,Moscow Oblast,2022
134,X600PT790,80000,Moscow Oblast,2022
135,X600PT790,70000,Moscow Oblast,2022
136,X600PT790,60000,Moscow Oblast,2022
137,X600PT790,55000,Moscow Oblast,2022
138,X600PT790,70000,Moscow Oblast,2022
139,X600PT790,65000,Moscow Oblast,2022
140,X600PT790,70000,Moscow Oblast,2022
141,X600PT790,600000,Moscow Oblast,2022
142,X600PT790,40000,Moscow Oblast,2023
143,X600PT790,35000,Moscow Oblast,2023
144,X600PT790,30000,Moscow Oblast,2023
145,T300EH977,50000,Moscow,2024
146,B044TH797,60000,Moscow,2024
147,C990TC99,350000,Moscow,2023
148,C005MM99,250000,Moscow,2023
149,X995AP550,60000,Moscow Oblast,2024
150,M554EM190,70000,Moscow Oblast,2024
151,O999EE32,600000,Bryansk Oblast,2024
152,B009BX50,330000,Moscow Oblast,2024
153,T813MM193,50000,Krasnodar Krai,2023
154,M381AX977,50000,Moscow,2024
155,M381AX977,30000,Moscow,2025
156,P079PP77,2500000,Moscow,2025
157,C777EP193,1150000,Krasnodar Krai,2024
158,T024CM797,90000,Moscow,2025
159,Y049TX797,100000,Moscow,2025
160,E555PY750,300000,Moscow Oblast,2023
161,E555PY750,450000,Moscow Oblast,2024
162,E555PY750,400000,Moscow Oblast,2024
163,E555PY750,350000,Moscow Oblast,2024
164,E555PY750,300000,Moscow Oblast,2024
165,E555PY750,350000,Moscow Oblast,2024
166,E555PY750,300000,Moscow Oblast,2024
167,E555PY750,250000,Moscow Oblast,2024
168,E579KX50,1200000,Moscow Oblast,2024
169,K288AT716,150000,Republic of Tatarstan,2023
170,C799OC797,150000,Moscow,2025
171,P111YC26,180000,Stavropol Krai,2022
172,T696YM97,200000,Moscow,2024
173,K898YM77,550000,Moscow,2023
174,B848AO550,70000,Moscow Oblast,2024
175,B424PK797,55000,Moscow,2025
176,E007TO69,80000,Tver Oblast,2024
177,A636TB790,40000,Moscow Oblast,2025
178,K700AA550,200000,Moscow Oblast,2025
179,P555PB31,1000000,Belgorod Oblast,2024
180,E400OX790,65000,Moscow Oblast,2024
181,O011XX198,200000,Saint Petersburg,2023
182,H700PA797,200000,Moscow,2024
183,O795OO177,800000,Moscow,2025
184,K200TK46,139999,Kursk Oblast,2024
185,X112TY797,65000,Moscow,2024
186,O020AX550,80000,Moscow Oblast,2024
187,H010BE97,160000,Moscow,2024
188,O998PY05,250000,Republic of Dagestan,2024
189,M515XM82,50000,Republic of Crimea,2024
190,K010KT190,125000,Moscow Oblast,2023
191,H666HK198,170000,Saint Petersburg,2023
192,Y553CC42,90000,Kemerovo Oblast,2024
193,C200YC22,50000,Altai Krai,2023
194,Y797YC790,35000,Moscow Oblast,2024
195,Y797YC790,50000,Moscow Oblast,2024
196,Y797YC790,70000,Moscow Oblast,2024
197,K959AB250,50000,Moscow Oblast,2024
198,E113TO797,60000,Moscow,2025
199,M300OO799,900000,Moscow,2025
200,M383OB797,58000,Moscow,2024
201,Y016AM716,50000,Republic of Tatarstan,2024
202,B076TY797,55000,Moscow,2025
203,A897OO977,500000,Moscow,2024
204,A007HT50,180000,Moscow Oblast,2022
205,H868TB797,70000,Moscow,2025
206,O066PE777,240000,Moscow,2024
207,H050PA797,150000,Moscow,2024
208,C777OH790,250000,Moscow Oblast,2022
209,O300KM790,60000,Moscow Oblast,2023
210,M896MO190,200000,Moscow Oblast,2022
211,E333XT197,350000,Moscow,2023
212,Y006YT93,150000,Krasnodar Krai,2022
213,K099YP73,200000,Ulyanovsk Oblast,2023
214,T272PY797,65000,Moscow,2024
215,C005TM750,135000,Moscow Oblast,2024
216,C021AB250,40000,Moscow Oblast,2024
217,T111OY190,370000,Moscow Oblast,2024
218,T111OY190,350000,Moscow Oblast,2024
219,T111OY190,320000,Moscow Oblast,2024
220,T111OY190,350000,Moscow Oblast,2025
221,B570PK86,85000,Khanty-Mansi Autonomous Okrug,2023
222,X845PH797,55000,Moscow,2025
223,B300CC24,150000,Krasnoyarsk Krai,2025
224,A444MH199,150000,Moscow,2022
225,Y999AK193,370000,Krasnodar Krai,2024
226,B001XE150,200000,Moscow Oblast,2023
227,A069MP05,250000,Republic of Dagestan,2024
228,X444XO178,160000,Saint Petersburg,2024
229,H050AT790,100000,Moscow Oblast,2022
230,C208CC90,300000,Moscow Oblast,2023
231,E997CY799,90000,Moscow,2023
232,E997CY799,150000,Moscow,2023
233,M483YP197,100000,Moscow,2023
234,M483YP197,220000,Moscow,2024
235,P131TX790,39990,Moscow Oblast,2025
236,A349OP797,30000,Moscow,2024
237,E570OO142,120000,Kemerovo Oblast,2024
238,T661TE77,70000,Moscow,2024
239,B995PM777,250000,Moscow,2024
240,A018OO197,300000,Moscow,2024
241,B045BK797,70000,Moscow,2025
242,H007PX77,1570000,Moscow,2025
243,C666AA199,1000000,Moscow,2024
244,C007KC77,1000000,Moscow,2023
245,C007KC77,1250000,Moscow,2023
246,O799PM799,200000,Moscow,2024
247,O939MT54,45000,Novosibirsk Oblast,2024
248,H066PA82,80000,Republic of Crimea,2024
249,E093TK797,50000,Moscow,2024
250,Y700BM55,250000,Omsk Oblast,2023
251,B053AH550,140000,Moscow Oblast,2025
252,E700PP797,270000,Moscow,2024
253,P197CA197,290000,Moscow,2024
254,P233XX790,25000,Moscow Oblast,2023
255,E063EE197,1950000,Moscow,2024
256,E063EE197,2500000,Moscow,2024
257,E063EE197,2780000,Moscow,2025
258,E070MM193,150000,Krasnodar Krai,2024
259,C511OP797,70000,Moscow,2024
260,T009EM777,400000,Moscow,2024
261,T009EM777,450000,Moscow,2024
262,T009EM777,350000,Moscow,2024
263,O111BH11,220000,Komi Republic,2022
264,X991HC797,99000,Moscow,2024
265,A076KA977,30000,Moscow,2025
266,K474AY142,25000,Kemerovo Oblast,2024
267,C200YT152,250000,Nizhny Novgorod Oblast,2024
268,X935XX23,250000,Krasnodar Krai,2023
269,X013OX197,250000,Moscow,2022
270,E333YX178,75000,Saint Petersburg,2023
271,T600MT790,50000,Moscow Oblast,2023
272,O508OM198,60000,Saint Petersburg,2023
273,Y090EE716,100000,Republic of Tatarstan,2024
274,A255AA177,3000000,Moscow,2024
275,E919EK163,60000,Samara Oblast,2022
276,A054AA150,450000,Moscow Oblast,2023
277,H004CH177,220000,Moscow,2025
278,A212OC797,90000,Moscow,2024
279,K025XK97,350000,Moscow,2024
280,M500EK716,120000,Republic of Tatarstan,2024
281,B395AO550,60000,Moscow Oblast,2025
282,B700BX142,60000,Kemerovo Oblast,2023
283,C953CX797,60000,Moscow,2025
284,K777YY41,1500000,Kamchatka Krai,2024
285,E407BA550,130000,Moscow Oblast,2025
286,Y025OX77,95000,Moscow,2023
287,Y025OX77,170000,Moscow,2024
288,E696KT193,170000,Krasnodar Krai,2023
289,K888KP152,290000,Nizhny Novgorod Oblast,2024
290,B784TC797,70000,Moscow,2024
291,T111OB790,160000,Moscow Oblast,2022
292,T111OB790,250000,Moscow Oblast,2024
293,C047HY790,40000,Moscow Oblast,2024
294,H787YT790,100000,Moscow Oblast,2024
295,E977AP550,70000,Moscow Oblast,2024
296,T059MB797,70000,Moscow,2025
297,K489PH797,30000,Moscow,2025
298,M999OM05,2100000,Republic of Dagestan,2024
299,E309CB797,50000,Moscow,2024
300,E444ET777,540000,Moscow,2025
301,M256PC797,30000,Moscow,2025
302,M330TP797,30000,Moscow,2025
303,O800KK977,150000,Moscow,2024
304,H222MP123,120000,Krasnodar Krai,2022
305,M900YE33,100000,Vladimir Oblast,2024
306,M303MB31,35000,Belgorod Oblast,2022
307,M151CM126,65000,Stavropol Krai,2024
308,C161YH790,80000,Moscow Oblast,2025
309,B060YY799,50000,Moscow,2023
310,X117XX197,550000,Moscow,2023
311,T686TC797,60000,Moscow,2024
312,M600AH797,50000,Moscow,2022
313,M020EM68,350000,Tambov Oblast,2023
314,T017TP797,150000,Moscow,2025
315,P505EC777,180000,Moscow,2024
316,P505EC777,170000,Moscow,2024
317,P505EC777,150000,Moscow,2024
318,P505EC777,180000,Moscow,2024
319,Y009KP77,550000,Moscow,2025
320,Y009KP77,450000,Moscow,2025
321,B050BA550,325000,Moscow Oblast,2024
322,C454HT797,55000,Moscow,2024
323,Y737MY797,80000,Moscow,2023
324,P696TA40,30000,Kaluga Oblast,2022
325,H017MM77,550000,Moscow,2025
326,P200PX197,50000,Moscow,2023
327,M377TT27,70000,Khabarovsk Krai,2024
328,X001YT197,850000,Moscow,2024
329,C275OM797,50000,Moscow,2025
330,M310MM190,650000,Moscow Oblast,2024
331,O111PO96,180000,Sverdlovsk Oblast,2023
332,M999YK190,1000000,Moscow Oblast,2024
333,P007XY197,350000,Moscow,2024
334,P007XY197,400000,Moscow,2024
335,O087MM198,350000,Saint Petersburg,2024
336,E007XA77,50000000,Moscow,2023
337,H300YH197,69000,Moscow,2022
338,C999AM197,900000,Moscow,2025
339,A050XP199,165000,Moscow,2024
340,X191HO30,500000,Astrakhan Oblast,2024
341,C023KP797,250000,Moscow,2022
342,C023KP797,200000,Moscow,2022
343,C023KP797,130000,Moscow,2022
344,A858KA142,100000,Kemerovo Oblast,2022
345,X064TK790,25000,Moscow Oblast,2024
346,M900OB190,200000,Moscow Oblast,2024
347,M900OB190,199000,Moscow Oblast,2024
348,Y011HT797,210000,Moscow,2025
349,K552KK64,400000,Saratov Oblast,2024
350,P555MB190,250000,Moscow Oblast,2022
351,P555MB190,160000,Moscow Oblast,2023
352,T202YO97,50000,Moscow,2022
353,A484EX797,40000,Moscow,2023
354,B939MC199,39900,Moscow,2022
355,X300EE777,185000,Moscow,2023
356,P232EC23,40000,Krasnodar Krai,2023
357,A434YE123,40000,Krasnodar Krai,2023
358,X505TO797,140000,Moscow,2024
359,B222PA177,1000000,Moscow,2024
360,K760YK790,100000,Moscow Oblast,2024
361,A026TX797,50000,Moscow,2025
362,P727PP150,450000,Moscow Oblast,2025
363,C939TX790,30000,Moscow Oblast,2024
364,C218CO797,60000,Moscow,2025
365,C509BO716,50000,Republic of Tatarstan,2024
366,O007AO190,250000,Moscow Oblast,2022
367,C777YM99,530000,Moscow,2022
368,C777YM99,1100000,Moscow,2024
369,M464PA797,25000,Moscow,2025
370,K083OO797,200000,Moscow,2025
371,M505EK05,400000,Republic of Dagestan,2024
372,E200EO164,55000,Saratov Oblast,2023
373,O968KM797,55000,Moscow,2025
374,X166XX78,300000,Saint Petersburg,2024
375,T400XH790,180000,Moscow Oblast,2024
376,X021AB99,250000,Moscow,2024
377,K050AE196,170000,Sverdlovsk Oblast,2024
378,M063BA977,290000,Moscow,2024
379,K666OX177,145000,Moscow,2022
380,E400OO177,400000,Moscow,2024
381,K511XY28,45000,Amur Oblast,2023
382,T111PX199,700000,Moscow,2025
383,E838OT797,58000,Moscow,2024
384,X808ET790,80000,Moscow Oblast,2024
385,A545MO190,1500000,Moscow Oblast,2024
386,A800BK142,100000,Kemerovo Oblast,2024
387,A096AA97,8000000,Moscow,2024
388,M001BP750,500000,Moscow Oblast,2025
389,B109OP77,155000,Moscow,2023
390,P006AC26,150000,Stavropol Krai,2023
391,X660AC550,100000,Moscow Oblast,2024
392,K666YX750,200000,Moscow Oblast,2024
393,K666YX750,170000,Moscow Oblast,2024
394,K666YX750,180000,Moscow Oblast,2025
395,K666YX750,170000,Moscow Oblast,2025
396,K666YX750,150000,Moscow Oblast,2025
397,P101BY196,500000,Sverdlovsk Oblast,2024
398,H707HA777,700000,Moscow,2025
399,A917MM197,750000,Moscow,2022
400,A778OC777,250000,Moscow,2022
401,E718KX90,1000000,Moscow Oblast,2025
402,C969KO797,100000,Moscow,2025
403,B666OP22,111222,Altai Krai,2023
404,P008TB790,200000,Moscow Oblast,2025
405,M600AT550,6000000,Moscow Oblast,2024
406,P912OO797,45000,Moscow,2025
407,A001TE147,270000,Leningrad Oblast,2023
408,B200MA28,105000,Amur Oblast,2024
409,E123MT797,25000,Moscow,2022
410,Y555OE790,150000,Moscow Oblast,2022
411,Y555OE790,155000,Moscow Oblast,2022
412,O939PH797,55000,Moscow,2024
413,B490TE797,55000,Moscow,2024
414,O500XO777,270000,Moscow,2021
415,C958AK550,30000,Moscow Oblast,2024
416,T707TB05,85000,Republic of Dagestan,2023
417,O020MP26,70000,Stavropol Krai,2023
418,H222XE77,570000,Moscow,2024
419,H222XE77,600000,Moscow,2024
420,H222XE77,699000,Moscow,2025
421,M300YO799,300000,Moscow,2024
422,O271KA977,30000,Moscow,2025
423,H800XM799,138000,Moscow,2024
424,M005MX05,2000000,Republic of Dagestan,2023
425,B707YE197,160000,Moscow,2025
426,T011YO790,70000,Moscow Oblast,2024
427,P800KX797,650000,Moscow,2025
428,K888HM197,700000,Moscow,2024
429,A015XT797,80000,Moscow,2024
430,O001BA777,1200000,Moscow,2024
431,P584AK550,60000,Moscow Oblast,2024
432,M911PM777,380000,Moscow,2024
433,M911PM777,700000,Moscow,2025
434,K061AP550,50000,Moscow Oblast,2025
435,K061AP550,70000,Moscow Oblast,2025
436,K575PE797,30000,Moscow,2024
437,O100OX797,270000,Moscow,2024
438,H600AP777,250000,Moscow,2024
439,T260KX77,200000,Moscow,2025
440,C019HC790,100000,Moscow Oblast,2025
441,O625KK761,99000,Rostov Oblast,2024
442,A323OM797,70000,Moscow,2025
443,O007MX11,130000,Komi Republic,2022
444,A221YA190,70000,Moscow Oblast,2024
445,P098EK98,1000000,Saint Petersburg,2024
446,T145TT190,200000,Moscow Oblast,2024
447,T145TT190,190000,Moscow Oblast,2025
448,T145TT190,200000,Moscow Oblast,2025
449,B555EP197,600000,Moscow,2023
450,K595OA797,100000,Moscow,2025
451,E002HT72,300000,Tyumen Oblast,2023
452,O868PA116,50000,Republic of Tatarstan,2024
453,O707OK46,100000,Kursk Oblast,2022
454,O797CK06,797000,Republic of Ingushetia,2024
455,O222KX777,650000,Moscow,2025
456,B383AE797,75000,Moscow,2025
457,H090YY199,70000,Moscow,2024
458,T150HH30,50000,Astrakhan Oblast,2023
459,O200EB797,70000,Moscow,2022
460,B555AE190,215000,Moscow Oblast,2023
461,P500OA77,250000,Moscow,2023
462,A467MO90,560000,Moscow Oblast,2024
463,H747KH790,100000,Moscow Oblast,2024
464,M003MM197,5500000,Moscow,2025
465,Y140KX77,200000,Moscow,2024
466,K316OT797,160000,Moscow,2023
467,M055BB550,305000,Moscow Oblast,2024
468,X100KY197,200000,Moscow,2023
469,K900KE977,210000,Moscow,2025
470,C669AA98,30000,Saint Petersburg,2023
471,C999TO34,350000,Volgograd Oblast,2024
472,E800OB193,115000,Krasnodar Krai,2024
473,E800OB193,100000,Krasnodar Krai,2025
474,P061KO977,60000,Moscow,2025
475,A005KP125,300000,Primorsky Krai,2023
476,E052EA977,65000,Moscow,2023
477,E431KX774,100000,Chelyabinsk Oblast,2024
478,K080TP797,115000,Moscow,2024
479,B080BK790,111000,Moscow Oblast,2023
480,A500XM41,150000,Kamchatka Krai,2024
481,P024BA550,50000,Moscow Oblast,2025
482,H222PC790,270000,Moscow Oblast,2024
483,K130AA977,50000,Moscow,2022
484,K130AA977,100000,Moscow,2024
485,Y300CO777,650000,Moscow,2025
486,B887KE977,55000,Moscow,2025
487,O200PY750,89990,Moscow Oblast,2024
488,K525XY790,30000,Moscow Oblast,2024
489,B393AB977,100000,Moscow,2025
490,M760MM190,1000000,Moscow Oblast,2022
491,T018CT799,150000,Moscow,2024
492,T055TC05,200000,Republic of Dagestan,2024
493,T600EA790,120000,Moscow Oblast,2024
494,T600EA790,80000,Moscow Oblast,2024
495,T600EA790,70000,Moscow Oblast,2024
496,T600EA790,80000,Moscow Oblast,2024
497,T600EA790,65000,Moscow Oblast,2024
498,T400AT163,120000,Samara Oblast,2023
499,O700PK199,150000,Moscow,2023
500,O700PK199,160000,Moscow,2023
501,H077HE37,25000,Ivanovo Oblast,2022
502,A210XA77,70000,Moscow,2024
503,E068CX68,100000,Tambov Oblast,2024
504,A999HC08,400000,Republic of Kalmykia,2022
505,A999HC08,230000,Republic of Kalmykia,2022
506,M766PM48,300000,Lipetsk Oblast,2024
507,C080CK797,170000,Moscow,2025
508,P700PY790,120000,Moscow Oblast,2024
509,T099TY797,130000,Moscow,2025
510,M707AY777,180000,Moscow,2022
511,M665MP90,250000,Moscow Oblast,2023
512,O015PO797,100000,Moscow,2024
513,K254OB797,30000,Moscow,2025
514,E789TO797,60000,Moscow,2024
515,X184XX95,300000,Chechen Republic,2025
516,A067MP05,220000,Republic of Dagestan,2024
517,K707AX147,40000,Leningrad Oblast,2023
518,K616HA95,150000,Chechen Republic,2024
519,X042YK42,110000,Kemerovo Oblast,2023
520,T050CA05,120000,Republic of Dagestan,2024
521,X041BB977,90000,Moscow,2024
522,X479AA97,75000,Moscow,2023
523,O626PH26,100000,Stavropol Krai,2023
524,B949XY790,30000,Moscow Oblast,2024
525,E768MP797,100000,Moscow,2024
526,Y003YY98,3000000,Saint Petersburg,2024
527,T989OE797,40000,Moscow,2025
528,K353AE550,50000,Moscow Oblast,2024
529,P888PP99,15000000,Moscow,2025
530,X222AO790,140000,Moscow Oblast,2023
531,H666BC790,180000,Moscow Oblast,2024
532,H093OO790,50000,Moscow Oblast,2025
533,T550BA550,250000,Moscow Oblast,2024
534,T550BA550,370000,Moscow Oblast,2025
535,H858TP26,50000,Stavropol Krai,2023
536,C001CO01,10000000,Republic of Adygea,2024
537,E989TC797,30000,Moscow,2024
538,E079AY790,50000,Moscow Oblast,2024
539,M412YP790,90000,Moscow Oblast,2025
540,C333CC13,1200000,Republic of Mordovia,2022
541,C333CC13,850000,Republic of Mordovia,2024
542,H858XH150,100000,Moscow Oblast,2024
543,O200OO55,2000000,Omsk Oblast,2023
544,C336MM97,150000,Moscow,2022
545,H009OO199,1000000,Moscow,2024
546,P202MT797,60000,Moscow,2023
547,P202MT797,100000,Moscow,2024
548,O009YH790,185000,Moscow Oblast,2024
549,O069MM790,75000,Moscow Oblast,2025
550,K545TA797,80000,Moscow,2025
551,K666PA62,250000,Ryazan Oblast,2023
552,K077CK777,300000,Moscow,2022
553,Y242KY797,50000,Moscow,2025
554,O797BH550,35000,Moscow Oblast,2024
555,X573EK977,50000,Moscow,2024
556,K444TO777,700000,Moscow,2024
557,H850TC797,75000,Moscow,2025
558,B050KY01,70000,Republic of Adygea,2024
559,E323TA797,70000,Moscow,2024
560,P200HH57,200000,Oryol Oblast,2023
561,C666OC66,15000000,Sverdlovsk Oblast,2024
562,C015EA97,150000,Moscow,2021
563,C015EA97,145000,Moscow,2022
564,K444EA164,300000,Saratov Oblast,2023
565,M222EP193,400000,Krasnodar Krai,2023
566,P873PP190,200000,Moscow Oblast,2024
567,K137AE550,50000,Moscow Oblast,2025
568,O001KK93,5000000,Krasnodar Krai,2025
569,A093XM797,50000,Moscow,2025
570,A911EC790,99000,Moscow Oblast,2024
571,K097MO797,90000,Moscow,2024
572,Y555XB777,800000,Moscow,2024
573,Y555XB777,750000,Moscow,2024
574,Y555XB777,800000,Moscow,2024
575,A289OO797,140000,Moscow,2025
576,K686PT797,55000,Moscow,2024
577,K009ME90,350000,Moscow Oblast,2023
578,X171TT797,40000,Moscow,2024
579,A047YH797,70000,Moscow,2024
580,E087CC797,100000,Moscow,2025
581,M787AY550,140000,Moscow Oblast,2025
582,Y555TY66,450000,Sverdlovsk Oblast,2023
583,Y555TY66,200000,Sverdlovsk Oblast,2023
584,B333ET777,800000,Moscow,2024
585,B333ET777,580000,Moscow,2024
586,B333ET777,600000,Moscow,2024
587,B333ET777,550000,Moscow,2024
588,O799OP797,50000,Moscow,2025
589,B404HK197,170000,Moscow,2024
590,O964OM797,30000,Moscow,2024
591,E555OE15,350000,Republic of North Ossetia,2022
592,E001BY790,200000,Moscow Oblast,2022
593,E001BY790,150000,Moscow Oblast,2022
594,Y276OT797,70000,Moscow,2024
595,C700OP797,290000,Moscow,2024
596,C999BO790,180000,Moscow Oblast,2022
597,K559TX797,50000,Moscow,2024
598,E760OO124,150000,Krasnoyarsk Krai,2024
599,B063BB161,3500000,Rostov Oblast,2024
600,T800HM199,100000,Moscow,2023
601,T800HM199,99000,Moscow,2023
602,T800HM199,75000,Moscow,2023
603,Y200PC77,235000,Moscow,2024
604,Y200PC77,250000,Moscow,2024
605,Y200PC77,230000,Moscow,2024
606,Y200PC77,220000,Moscow,2024
607,Y200PC77,250000,Moscow,2024
608,Y200PC77,200000,Moscow,2024
609,Y200PC77,220000,Moscow,2024
610,Y200PC77,180000,Moscow,2024
611,Y200PC77,190000,Moscow,2025
612,T288KO761,120000,Rostov Oblast,2022
613,H939PP150,60000,Moscow Oblast,2024
614,H939PP150,80000,Moscow Oblast,2024
615,O006EA750,130000,Moscow Oblast,2023
616,O006EA750,99000,Moscow Oblast,2023
617,O006EA750,150000,Moscow Oblast,2025
618,K777AY178,250000,Saint Petersburg,2023
619,M585MM48,900000,Lipetsk Oblast,2024
620,A987PC193,100000,Krasnodar Krai,2022
621,A030PK790,90000,Moscow Oblast,2024
622,M345CK67,120000,Smolensk Oblast,2023
623,C680MC196,250000,Sverdlovsk Oblast,2024
624,B686BH797,300000,Moscow,2024
625,M073OH199,80000,Moscow,2023
626,A333KM82,300000,Republic of Crimea,2024
627,P770KK07,100000,Kabardino-Balkarian Republic,2024
628,X434TX125,50000,Primorsky Krai,2022
629,X327KK977,60000,Moscow,2024
630,O020AC05,170000,Republic of Dagestan,2023
631,P077EP777,700000,Moscow,2024
632,O777KP48,240000,Lipetsk Oblast,2022
633,M357OO25,2000000,Primorsky Krai,2024
634,H111HH95,3500000,Chechen Republic,2025
635,C373KP77,800000,Moscow,2023
636,H199YB33,25000,Vladimir Oblast,2025
637,O500OE177,265000,Moscow,2023
638,O500OE177,290000,Moscow,2023
639,O500OE177,285000,Moscow,2023
640,O500OE177,275000,Moscow,2024
641,O500OE177,500000,Moscow,2024
642,O500OE177,450000,Moscow,2024
643,O500OE177,440000,Moscow,2024
644,O500OE177,450000,Moscow,2024
645,O500OE177,500000,Moscow,2024
646,O500OE177,450000,Moscow,2024
647,O500OE177,440000,Moscow,2024
648,O500OE177,390000,Moscow,2024
